,X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0,0.98,0.0,0.2857142857142856,0.0,1.0,0.0,0.0,0.0,0.25721218657320033,0.2809049286291408
1,0.98,0.0,0.2857142857142856,0.0,1.0,0.33333333333333337,0.0,0.0,0.25721218657320033,0.2809049286291408
2,0.98,0.0,0.2857142857142856,0.0,1.0,0.6666666666666666,0.0,0.0,0.25721218657320033,0.2809049286291408
3,0.98,0.0,0.2857142857142856,0.0,1.0,0.9999999999999999,0.0,0.0,0.25721218657320033,0.2809049286291408
4,0.9,0.16666666666666652,0.4285714285714286,0.11111111111111116,1.0,0.0,0.0,0.0,0.39983823132919916,0.4680851063829788
5,0.9,0.16666666666666652,0.4285714285714286,0.11111111111111116,1.0,0.33333333333333337,0.0,0.0,0.41655432731194386,0.3899811473202262
6,0.9,0.16666666666666652,0.4285714285714286,0.11111111111111116,1.0,0.6666666666666666,0.0,0.0,0.3963332434618495,0.3840560193913278
7,0.9,0.16666666666666652,0.4285714285714286,0.11111111111111116,1.0,0.9999999999999999,0.0,0.0,0.3685629549743865,0.5036358739563696
8,0.86,0.25,0.2857142857142856,0.33333333333333326,1.0,0.0,0.0,0.0,0.36370989485036387,0.4416913546997037
9,0.86,0.25,0.2857142857142856,0.33333333333333326,1.0,0.33333333333333337,0.0,0.0,0.3758425451604205,0.2981416644223
10,0.86,0.25,0.2857142857142856,0.33333333333333326,1.0,0.6666666666666666,0.0,0.0,0.35939606362901044,0.33907891193105305
11,0.86,0.25,0.2857142857142856,0.33333333333333326,1.0,0.9999999999999999,0.0,0.0,0.33162577514154756,0.45704282251548617
12,0.82,0.33333333333333304,0.4285714285714286,0.33333333333333326,1.0,0.0,0.0,0.0,0.29765435427338904,0.3466199838405602
13,0.82,0.33333333333333304,0.4285714285714286,0.33333333333333326,1.0,0.33333333333333337,0.0,0.0,0.30736047452143433,0.2844061405871264
14,0.82,0.33333333333333304,0.4285714285714286,0.33333333333333326,1.0,0.6666666666666666,0.0,0.0,0.29495820976004306,0.2763264206840829
15,0.82,0.33333333333333304,0.4285714285714286,0.33333333333333326,1.0,0.9999999999999999,0.0,0.0,0.2688056079805877,0.3778615674656612
16,0.79,0.4166666666666665,0.5714285714285714,0.33333333333333326,1.0,0.0,0.0,0.0,0.6069021299541655,0.7225962833288446
17,0.79,0.4166666666666665,0.5714285714285714,0.33333333333333326,1.0,0.33333333333333337,0.0,0.0,0.6441089242383391,0.5486129814166443
18,0.79,0.4166666666666665,0.5714285714285714,0.33333333333333326,1.0,0.6666666666666666,0.0,0.0,0.6368293340523051,0.5394559655265283
19,0.79,0.4166666666666665,0.5714285714285714,0.33333333333333326,1.0,0.9999999999999999,0.0,0.0,0.613103262334861,0.7686506867761917
20,0.76,0.5,0.9999999999999998,0.11111111111111116,1.0,0.0,0.0,0.0,0.5057967107036936,0.5087530298949636
21,0.76,0.5,0.9999999999999998,0.11111111111111116,1.0,0.33333333333333337,0.0,0.0,0.4831490967915879,0.5057904659305144
22,0.76,0.5,0.9999999999999998,0.11111111111111116,1.0,0.6666666666666666,0.0,0.0,0.5057967107036936,0.5087530298949636
23,0.76,0.5,0.9999999999999998,0.11111111111111116,1.0,0.9999999999999999,0.0,0.0,0.4831490967915879,0.49824939402100726
24,0.74,0.583333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0016176867080075485,0.0
25,0.74,0.583333333333333,0.0,1.0,0.0,0.33333333333333337,0.0,0.0,0.0010784578053383564,0.007810395906275247
26,0.74,0.583333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.001077295987072402
27,0.74,0.583333333333333,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0008088433540037743,0.007271747912738991
28,0.71,0.6666666666666665,0.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.009706120248045291,0.009964987880420106
